                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.36028,                 2.0966,                0.81754,                0.99179,                      1,                  0.995,                0.96139,                 0.2655,                0.27173,                0.77743,             0.00016536,             0.00016536,             0.00016536
                     54,                0.34331,                 2.2749,                0.80988,                0.99123,                      1,                  0.995,                0.96431,                0.28804,                0.27205,                0.78115,             0.00015652,             0.00015652,             0.00015652
                     55,                0.34584,                  2.263,                0.77662,                0.99126,                      1,                  0.995,                0.95736,                0.27894,                0.28267,                 0.7774,             0.00014768,             0.00014768,             0.00014768
                     56,                 0.3673,                 2.3714,                0.81027,                0.99186,                      1,                  0.995,                0.97273,                0.27642,                0.26607,                0.77608,             0.00013884,             0.00013884,             0.00013884
                     57,                0.33469,                  2.138,                0.80012,                0.99175,                      1,                  0.995,                0.96457,                0.27334,                 0.2647,                 0.7772,                0.00013,                0.00013,                0.00013
                     58,                0.34346,                 1.9958,                0.80982,                 0.9925,                      1,                  0.995,                0.96803,                 0.2633,                0.25922,                0.77632,             0.00012116,             0.00012116,             0.00012116
                     59,                0.32268,                 2.1902,                 0.7887,                0.99343,                      1,                  0.995,                 0.9609,                0.26506,                0.26397,                0.77713,             0.00011232,             0.00011232,             0.00011232
                     60,                0.34033,                 1.9755,                0.80221,                0.99388,                      1,                  0.995,                0.96764,                0.26079,                0.26211,                0.77594,             0.00010348,             0.00010348,             0.00010348
                     61,                0.30757,                 2.7764,                0.77841,                0.99097,                      1,                  0.995,                0.96633,                0.25986,                0.25947,                0.77448,             9.4643e-05,             9.4643e-05,             9.4643e-05
                     62,                0.30736,                 2.8523,                 0.7872,                0.98879,                      1,                  0.995,                0.96906,                0.25871,                0.26511,                 0.7747,             8.5804e-05,             8.5804e-05,             8.5804e-05
                     63,                0.29965,                 2.9063,                0.77678,                0.99047,                      1,                  0.995,                0.96485,                0.26166,                0.26102,                0.77523,             7.6964e-05,             7.6964e-05,             7.6964e-05
                     64,                0.29225,                 2.7753,                0.77499,                0.99076,                      1,                  0.995,                0.95643,                0.25982,                  0.259,                0.77582,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     65,                0.28417,                 2.7205,                 0.7861,                0.99143,                      1,                  0.995,                0.96292,                 0.2542,                0.25309,                0.77538,             5.9286e-05,             5.9286e-05,             5.9286e-05
                     66,                0.28005,                 2.6262,                0.78808,                0.99201,                      1,                  0.995,                0.96532,                0.25887,                0.25554,                0.77525,             5.0446e-05,             5.0446e-05,             5.0446e-05
                     67,                0.27452,                 2.6644,                0.78241,                0.99234,                      1,                  0.995,                0.96867,                0.26239,                0.25831,                0.77477,             4.1607e-05,             4.1607e-05,             4.1607e-05
                     68,                0.27194,                 2.6755,                0.77245,                0.99253,                      1,                  0.995,                 0.9676,                 0.2612,                0.25528,                0.77425,             3.2768e-05,             3.2768e-05,             3.2768e-05
                     69,                0.28109,                 2.6774,                0.76298,                0.99314,                      1,                  0.995,                0.96664,                0.25625,                0.24906,                0.77442,             2.3929e-05,             2.3929e-05,             2.3929e-05
                     70,                0.26587,                 2.6494,                0.77907,                 0.9936,                      1,                  0.995,                 0.9653,                0.25428,                0.25151,                0.77417,             1.5089e-05,             1.5089e-05,             1.5089e-05
